,year,vvp
96,2001-04-07,328.5
97,2001-04-08,328.5
98,2001-04-09,328.5
99,2001-04-10,328.5
100,2001-04-11,328.5
101,2001-04-12,328.5
102,2001-04-13,328.5
103,2001-04-14,328.5
104,2001-04-15,328.5
105,2001-04-16,328.5
106,2001-04-17,328.5
107,2001-04-18,328.5
108,2001-04-19,328.5
109,2001-04-20,328.5
110,2001-04-21,328.5
111,2001-04-22,328.5
112,2001-04-23,328.5
113,2001-04-24,328.5
114,2001-04-25,328.5
115,2001-04-26,328.5
116,2001-04-27,328.5
117,2001-04-28,328.5
118,2001-04-29,328.5
119,2001-04-30,328.5
120,2001-05-01,328.5
121,2001-05-02,328.5
122,2001-05-03,328.5
123,2001-05-04,328.5
124,2001-05-05,328.5
125,2001-05-06,328.5
126,2001-05-07,328.5
127,2001-05-08,328.5
128,2001-05-09,328.5
129,2001-05-10,328.5
130,2001-05-11,328.5
131,2001-05-12,328.5
132,2001-05-13,328.5
133,2001-05-14,328.5
134,2001-05-15,328.5
135,2001-05-16,328.5
136,2001-05-17,328.5
137,2001-05-18,328.5
138,2001-05-19,328.5
139,2001-05-20,328.5
140,2001-05-21,328.5
141,2001-05-22,328.5
142,2001-05-23,328.5
143,2001-05-24,328.5
144,2001-05-25,328.5
145,2001-05-26,328.5
146,2001-05-27,328.5
147,2001-05-28,328.5
148,2001-05-29,328.5
149,2001-05-30,328.5
150,2001-05-31,328.5
151,2001-06-01,328.5
152,2001-06-02,328.5
153,2001-06-03,328.5
154,2001-06-04,328.5
155,2001-06-05,328.5
156,2001-06-06,328.5
157,2001-06-07,328.5
158,2001-06-08,328.5
159,2001-06-09,328.5
160,2001-06-10,328.5
161,2001-06-11,328.5
162,2001-06-12,328.5
163,2001-06-13,328.5
164,2001-06-14,328.5
165,2001-06-15,328.5
166,2001-06-16,328.5
167,2001-06-17,328.5
168,2001-06-18,328.5
169,2001-06-19,328.5
170,2001-06-20,328.5
171,2001-06-21,328.5
172,2001-06-22,328.5
173,2001-06-23,328.5
174,2001-06-24,328.5
175,2001-06-25,328.5
176,2001-06-26,328.5
177,2001-06-27,328.5
178,2001-06-28,328.5
179,2001-06-29,328.5
180,2001-06-30,328.5
181,2001-07-01,328.5
182,2001-07-02,328.5
183,2001-07-03,328.5
184,2001-07-04,328.5
185,2001-07-05,328.5
186,2001-07-06,328.5
187,2001-07-07,328.5
188,2001-07-08,328.5
189,2001-07-09,328.5
190,2001-07-10,328.5
191,2001-07-11,328.5
192,2001-07-12,328.5
193,2001-07-13,328.5
194,2001-07-14,328.5
195,2001-07-15,328.5
196,2001-07-16,328.5
197,2001-07-17,328.5
198,2001-07-18,328.5
199,2001-07-19,328.5
200,2001-07-20,328.5
201,2001-07-21,328.5
202,2001-07-22,328.5
203,2001-07-23,328.5
204,2001-07-24,328.5
205,2001-07-25,328.5
206,2001-07-26,328.5
207,2001-07-27,328.5
208,2001-07-28,328.5
209,2001-07-29,328.5
210,2001-07-30,328.5
211,2001-07-31,328.5
212,2001-08-01,328.5
213,2001-08-02,328.5
214,2001-08-03,328.5
215,2001-08-04,328.5
216,2001-08-05,328.5
217,2001-08-06,328.5
218,2001-08-07,328.5
219,2001-08-08,328.5
220,2001-08-09,328.5
221,2001-08-10,328.5
222,2001-08-11,328.5
223,2001-08-12,328.5
224,2001-08-13,328.5
225,2001-08-14,328.5
226,2001-08-15,328.5
227,2001-08-16,328.5
228,2001-08-17,328.5
229,2001-08-18,328.5
230,2001-08-19,328.5
231,2001-08-20,328.5
232,2001-08-21,328.5
233,2001-08-22,328.5
234,2001-08-23,328.5
235,2001-08-24,328.5
236,2001-08-25,328.5
237,2001-08-26,328.5
238,2001-08-27,328.5
239,2001-08-28,328.5
240,2001-08-29,328.5
241,2001-08-30,328.5
242,2001-08-31,328.5
243,2001-09-01,328.5
244,2001-09-02,328.5
245,2001-09-03,328.5
246,2001-09-04,328.5
247,2001-09-05,328.5
248,2001-09-06,328.5
249,2001-09-07,328.5
250,2001-09-08,328.5
251,2001-09-09,328.5
252,2001-09-10,328.5
253,2001-09-11,328.5
254,2001-09-12,328.5
255,2001-09-13,328.5
256,2001-09-14,328.5
257,2001-09-15,328.5
258,2001-09-16,328.5
259,2001-09-17,328.5
260,2001-09-18,328.5
261,2001-09-19,328.5
262,2001-09-20,328.5
263,2001-09-21,328.5
264,2001-09-22,328.5
265,2001-09-23,328.5
266,2001-09-24,328.5
267,2001-09-25,328.5
268,2001-09-26,328.5
269,2001-09-27,328.5
270,2001-09-28,328.5
271,2001-09-29,328.5
272,2001-09-30,328.5
273,2001-10-01,328.5
274,2001-10-02,328.5
275,2001-10-03,328.5
276,2001-10-04,328.5
277,2001-10-05,328.5
278,2001-10-06,328.5
279,2001-10-07,328.5
280,2001-10-08,328.5
281,2001-10-09,328.5
282,2001-10-10,328.5
283,2001-10-11,328.5
284,2001-10-12,328.5
285,2001-10-13,328.5
286,2001-10-14,328.5
287,2001-10-15,328.5
288,2001-10-16,328.5
289,2001-10-17,328.5
290,2001-10-18,328.5
291,2001-10-19,328.5
292,2001-10-20,328.5
293,2001-10-21,328.5
294,2001-10-22,328.5
295,2001-10-23,328.5
296,2001-10-24,328.5
297,2001-10-25,328.5
298,2001-10-26,328.5
299,2001-10-27,328.5
300,2001-10-28,328.5
301,2001-10-29,328.5
302,2001-10-30,328.5
303,2001-10-31,328.5
304,2001-11-01,328.5
305,2001-11-02,328.5
306,2001-11-03,328.5
307,2001-11-04,328.5
308,2001-11-05,328.5
309,2001-11-06,328.5
310,2001-11-07,328.5
311,2001-11-08,328.5
312,2001-11-09,328.5
313,2001-11-10,328.5
314,2001-11-11,328.5
315,2001-11-12,328.5
316,2001-11-13,328.5
317,2001-11-14,328.5
318,2001-11-15,328.5
319,2001-11-16,328.5
320,2001-11-17,328.5
321,2001-11-18,328.5
322,2001-11-19,328.5
323,2001-11-20,328.5
324,2001-11-21,328.5
325,2001-11-22,328.5
326,2001-11-23,328.5
327,2001-11-24,328.5
328,2001-11-25,328.5
329,2001-11-26,328.5
330,2001-11-27,328.5
331,2001-11-28,328.5
332,2001-11-29,328.5
333,2001-11-30,328.5
334,2001-12-01,328.5
335,2001-12-02,328.5
336,2001-12-03,328.5
337,2001-12-04,328.5
338,2001-12-05,328.5
339,2001-12-06,328.5
340,2001-12-07,328.5
341,2001-12-08,328.5
342,2001-12-09,328.5
343,2001-12-10,328.5
344,2001-12-11,328.5
345,2001-12-12,328.5
346,2001-12-13,328.5
347,2001-12-14,328.5
348,2001-12-15,328.5
349,2001-12-16,328.5
350,2001-12-17,328.5
351,2001-12-18,328.5
352,2001-12-19,328.5
353,2001-12-20,328.5
354,2001-12-21,328.5
355,2001-12-22,328.5
356,2001-12-23,328.5
357,2001-12-24,328.5
358,2001-12-25,328.5
359,2001-12-26,328.5
360,2001-12-27,328.5
361,2001-12-28,328.5
362,2001-12-29,328.5
363,2001-12-30,328.5
364,2001-12-31,328.5
365,2002-01-01,370.1
366,2002-01-02,370.1
367,2002-01-03,370.1
368,2002-01-04,370.1
369,2002-01-05,370.1
370,2002-01-06,370.1
371,2002-01-07,370.1
372,2002-01-08,370.1
373,2002-01-09,370.1
374,2002-01-10,370.1
375,2002-01-11,370.1
376,2002-01-12,370.1
377,2002-01-13,370.1
378,2002-01-14,370.1
379,2002-01-15,370.1
380,2002-01-16,370.1
381,2002-01-17,370.1
382,2002-01-18,370.1
383,2002-01-19,370.1
384,2002-01-20,370.1
385,2002-01-21,370.1
386,2002-01-22,370.1
387,2002-01-23,370.1
388,2002-01-24,370.1
389,2002-01-25,370.1
390,2002-01-26,370.1
391,2002-01-27,370.1
392,2002-01-28,370.1
393,2002-01-29,370.1
394,2002-01-30,370.1
395,2002-01-31,370.1
396,2002-02-01,370.1
397,2002-02-02,370.1
398,2002-02-03,370.1
399,2002-02-04,370.1
400,2002-02-05,370.1
401,2002-02-06,370.1
402,2002-02-07,370.1
403,2002-02-08,370.1
404,2002-02-09,370.1
405,2002-02-10,370.1
406,2002-02-11,370.1
407,2002-02-12,370.1
408,2002-02-13,370.1
409,2002-02-14,370.1
410,2002-02-15,370.1
411,2002-02-16,370.1
412,2002-02-17,370.1
413,2002-02-18,370.1
414,2002-02-19,370.1
415,2002-02-20,370.1
416,2002-02-21,370.1
417,2002-02-22,370.1
418,2002-02-23,370.1
419,2002-02-24,370.1
420,2002-02-25,370.1
421,2002-02-26,370.1
422,2002-02-27,370.1
423,2002-02-28,370.1
424,2002-03-01,370.1
425,2002-03-02,370.1
426,2002-03-03,370.1
427,2002-03-04,370.1
428,2002-03-05,370.1
429,2002-03-06,370.1
430,2002-03-07,370.1
431,2002-03-08,370.1
432,2002-03-09,370.1
433,2002-03-10,370.1
434,2002-03-11,370.1
435,2002-03-12,370.1
436,2002-03-13,370.1
437,2002-03-14,370.1
438,2002-03-15,370.1
439,2002-03-16,370.1
440,2002-03-17,370.1
441,2002-03-18,370.1
442,2002-03-19,370.1
443,2002-03-20,370.1
444,2002-03-21,370.1
445,2002-03-22,370.1
446,2002-03-23,370.1
447,2002-03-24,370.1
448,2002-03-25,370.1
449,2002-03-26,370.1
450,2002-03-27,370.1
451,2002-03-28,370.1
452,2002-03-29,370.1
453,2002-03-30,370.1
454,2002-03-31,370.1
455,2002-04-01,370.1
456,2002-04-02,370.1
457,2002-04-03,370.1
458,2002-04-04,370.1
459,2002-04-05,370.1
460,2002-04-06,370.1
461,2002-04-07,370.1
462,2002-04-08,370.1
463,2002-04-09,370.1
464,2002-04-10,370.1
465,2002-04-11,370.1
466,2002-04-12,370.1
467,2002-04-13,370.1
468,2002-04-14,370.1
469,2002-04-15,370.1
470,2002-04-16,370.1
471,2002-04-17,370.1
472,2002-04-18,370.1
473,2002-04-19,370.1
474,2002-04-20,370.1
475,2002-04-21,370.1
476,2002-04-22,370.1
477,2002-04-23,370.1
478,2002-04-24,370.1
479,2002-04-25,370.1
480,2002-04-26,370.1
481,2002-04-27,370.1
482,2002-04-28,370.1
483,2002-04-29,370.1
484,2002-04-30,370.1
485,2002-05-01,370.1
486,2002-05-02,370.1
487,2002-05-03,370.1
488,2002-05-04,370.1
489,2002-05-05,370.1
490,2002-05-06,370.1
491,2002-05-07,370.1
492,2002-05-08,370.1
493,2002-05-09,370.1
494,2002-05-10,370.1
495,2002-05-11,370.1
496,2002-05-12,370.1
497,2002-05-13,370.1
498,2002-05-14,370.1
499,2002-05-15,370.1
500,2002-05-16,370.1
501,2002-05-17,370.1
502,2002-05-18,370.1
503,2002-05-19,370.1
504,2002-05-20,370.1
505,2002-05-21,370.1
506,2002-05-22,370.1
507,2002-05-23,370.1
508,2002-05-24,370.1
509,2002-05-25,370.1
510,2002-05-26,370.1
511,2002-05-27,370.1
512,2002-05-28,370.1
513,2002-05-29,370.1
514,2002-05-30,370.1
515,2002-05-31,370.1
516,2002-06-01,370.1
517,2002-06-02,370.1
518,2002-06-03,370.1
519,2002-06-04,370.1
520,2002-06-05,370.1
521,2002-06-06,370.1
522,2002-06-07,370.1
523,2002-06-08,370.1
524,2002-06-09,370.1
525,2002-06-10,370.1
526,2002-06-11,370.1
527,2002-06-12,370.1
528,2002-06-13,370.1
529,2002-06-14,370.1
530,2002-06-15,370.1
531,2002-06-16,370.1
532,2002-06-17,370.1
533,2002-06-18,370.1
534,2002-06-19,370.1
535,2002-06-20,370.1
536,2002-06-21,370.1
537,2002-06-22,370.1
538,2002-06-23,370.1
539,2002-06-24,370.1
540,2002-06-25,370.1
541,2002-06-26,370.1
542,2002-06-27,370.1
543,2002-06-28,370.1
544,2002-06-29,370.1
545,2002-06-30,370.1
546,2002-07-01,370.1
547,2002-07-02,370.1
548,2002-07-03,370.1
549,2002-07-04,370.1
550,2002-07-05,370.1
551,2002-07-06,370.1
552,2002-07-07,370.1
553,2002-07-08,370.1
554,2002-07-09,370.1
555,2002-07-10,370.1
556,2002-07-11,370.1
557,2002-07-12,370.1
558,2002-07-13,370.1
559,2002-07-14,370.1
560,2002-07-15,370.1
561,2002-07-16,370.1
562,2002-07-17,370.1
563,2002-07-18,370.1
564,2002-07-19,370.1
565,2002-07-20,370.1
566,2002-07-21,370.1
567,2002-07-22,370.1
568,2002-07-23,370.1
569,2002-07-24,370.1
570,2002-07-25,370.1
571,2002-07-26,370.1
572,2002-07-27,370.1
573,2002-07-28,370.1
574,2002-07-29,370.1
575,2002-07-30,370.1
576,2002-07-31,370.1
577,2002-08-01,370.1
578,2002-08-02,370.1
579,2002-08-03,370.1
580,2002-08-04,370.1
581,2002-08-05,370.1
582,2002-08-06,370.1
583,2002-08-07,370.1
584,2002-08-08,370.1
585,2002-08-09,370.1
586,2002-08-10,370.1
587,2002-08-11,370.1
588,2002-08-12,370.1
589,2002-08-13,370.1
590,2002-08-14,370.1
591,2002-08-15,370.1
592,2002-08-16,370.1
593,2002-08-17,370.1
594,2002-08-18,370.1
595,2002-08-19,370.1
596,2002-08-20,370.1
597,2002-08-21,370.1
598,2002-08-22,370.1
599,2002-08-23,370.1
600,2002-08-24,370.1
601,2002-08-25,370.1
602,2002-08-26,370.1
603,2002-08-27,370.1
604,2002-08-28,370.1
605,2002-08-29,370.1
606,2002-08-30,370.1
607,2002-08-31,370.1
608,2002-09-01,370.1
609,2002-09-02,370.1
610,2002-09-03,370.1
611,2002-09-04,370.1
612,2002-09-05,370.1
613,2002-09-06,370.1
614,2002-09-07,370.1
615,2002-09-08,370.1
616,2002-09-09,370.1
617,2002-09-10,370.1
618,2002-09-11,370.1
619,2002-09-12,370.1
620,2002-09-13,370.1
621,2002-09-14,370.1
622,2002-09-15,370.1
623,2002-09-16,370.1
624,2002-09-17,370.1
625,2002-09-18,370.1
626,2002-09-19,370.1
627,2002-09-20,370.1
628,2002-09-21,370.1
629,2002-09-22,370.1
630,2002-09-23,370.1
631,2002-09-24,370.1
632,2002-09-25,370.1
633,2002-09-26,370.1
634,2002-09-27,370.1
635,2002-09-28,370.1
636,2002-09-29,370.1
637,2002-09-30,370.1
638,2002-10-01,370.1
639,2002-10-02,370.1
640,2002-10-03,370.1
641,2002-10-04,370.1
642,2002-10-05,370.1
643,2002-10-06,370.1
644,2002-10-07,370.1
645,2002-10-08,370.1
646,2002-10-09,370.1
647,2002-10-10,370.1
648,2002-10-11,370.1
649,2002-10-12,370.1
650,2002-10-13,370.1
651,2002-10-14,370.1
652,2002-10-15,370.1
653,2002-10-16,370.1
654,2002-10-17,370.1
655,2002-10-18,370.1
656,2002-10-19,370.1
657,2002-10-20,370.1
658,2002-10-21,370.1
659,2002-10-22,370.1
660,2002-10-23,370.1
661,2002-10-24,370.1
662,2002-10-25,370.1
663,2002-10-26,370.1
664,2002-10-27,370.1
665,2002-10-28,370.1
666,2002-10-29,370.1
667,2002-10-30,370.1
668,2002-10-31,370.1
669,2002-11-01,370.1
670,2002-11-02,370.1
671,2002-11-03,370.1
672,2002-11-04,370.1
673,2002-11-05,370.1
674,2002-11-06,370.1
675,2002-11-07,370.1
676,2002-11-08,370.1
677,2002-11-09,370.1
678,2002-11-10,370.1
679,2002-11-11,370.1
680,2002-11-12,370.1
681,2002-11-13,370.1
682,2002-11-14,370.1
683,2002-11-15,370.1
684,2002-11-16,370.1
685,2002-11-17,370.1
686,2002-11-18,370.1
687,2002-11-19,370.1
688,2002-11-20,370.1
689,2002-11-21,370.1
690,2002-11-22,370.1
691,2002-11-23,370.1
692,2002-11-24,370.1
693,2002-11-25,370.1
694,2002-11-26,370.1
695,2002-11-27,370.1
696,2002-11-28,370.1
697,2002-11-29,370.1
698,2002-11-30,370.1
699,2002-12-01,370.1
700,2002-12-02,370.1
701,2002-12-03,370.1
702,2002-12-04,370.1
703,2002-12-05,370.1
704,2002-12-06,370.1
705,2002-12-07,370.1
706,2002-12-08,370.1
707,2002-12-09,370.1
708,2002-12-10,370.1
709,2002-12-11,370.1
710,2002-12-12,370.1
711,2002-12-13,370.1
712,2002-12-14,370.1
713,2002-12-15,370.1
714,2002-12-16,370.1
715,2002-12-17,370.1
716,2002-12-18,370.1
717,2002-12-19,370.1
718,2002-12-20,370.1
719,2002-12-21,370.1
720,2002-12-22,370.1
721,2002-12-23,370.1
722,2002-12-24,370.1
723,2002-12-25,370.1
724,2002-12-26,370.1
725,2002-12-27,370.1
726,2002-12-28,370.1
727,2002-12-29,370.1
728,2002-12-30,370.1
729,2002-12-31,370.1
730,2003-01-01,461.5
731,2003-01-02,461.5
732,2003-01-03,461.5
733,2003-01-04,461.5
734,2003-01-05,461.5
735,2003-01-06,461.5
736,2003-01-07,461.5
737,2003-01-08,461.5
738,2003-01-09,461.5
739,2003-01-10,461.5
740,2003-01-11,461.5
741,2003-01-12,461.5
742,2003-01-13,461.5
743,2003-01-14,461.5
744,2003-01-15,461.5
745,2003-01-16,461.5
746,2003-01-17,461.5
747,2003-01-18,461.5
748,2003-01-19,461.5
749,2003-01-20,461.5
750,2003-01-21,461.5
751,2003-01-22,461.5
752,2003-01-23,461.5
753,2003-01-24,461.5
754,2003-01-25,461.5
755,2003-01-26,461.5
756,2003-01-27,461.5
757,2003-01-28,461.5
758,2003-01-29,461.5
759,2003-01-30,461.5
760,2003-01-31,461.5
761,2003-02-01,461.5
762,2003-02-02,461.5
763,2003-02-03,461.5
764,2003-02-04,461.5
765,2003-02-05,461.5
766,2003-02-06,461.5
767,2003-02-07,461.5
768,2003-02-08,461.5
769,2003-02-09,461.5
770,2003-02-10,461.5
771,2003-02-11,461.5
772,2003-02-12,461.5
773,2003-02-13,461.5
774,2003-02-14,461.5
775,2003-02-15,461.5
776,2003-02-16,461.5
777,2003-02-17,461.5
778,2003-02-18,461.5
779,2003-02-19,461.5
780,2003-02-20,461.5
781,2003-02-21,461.5
782,2003-02-22,461.5
783,2003-02-23,461.5
784,2003-02-24,461.5
785,2003-02-25,461.5
786,2003-02-26,461.5
787,2003-02-27,461.5
788,2003-02-28,461.5
789,2003-03-01,461.5
790,2003-03-02,461.5
791,2003-03-03,461.5
792,2003-03-04,461.5
793,2003-03-05,461.5
794,2003-03-06,461.5
795,2003-03-07,461.5
796,2003-03-08,461.5
797,2003-03-09,461.5
798,2003-03-10,461.5
799,2003-03-11,461.5
800,2003-03-12,461.5
801,2003-03-13,461.5
802,2003-03-14,461.5
803,2003-03-15,461.5
804,2003-03-16,461.5
805,2003-03-17,461.5
806,2003-03-18,461.5
807,2003-03-19,461.5
808,2003-03-20,461.5
809,2003-03-21,461.5
810,2003-03-22,461.5
811,2003-03-23,461.5
812,2003-03-24,461.5
813,2003-03-25,461.5
814,2003-03-26,461.5
815,2003-03-27,461.5
816,2003-03-28,461.5
817,2003-03-29,461.5
818,2003-03-30,461.5
819,2003-03-31,461.5
820,2003-04-01,461.5
821,2003-04-02,461.5
822,2003-04-03,461.5
823,2003-04-04,461.5
824,2003-04-05,461.5
825,2003-04-06,461.5
826,2003-04-07,461.5
827,2003-04-08,461.5
828,2003-04-09,461.5
829,2003-04-10,461.5
830,2003-04-11,461.5
831,2003-04-12,461.5
832,2003-04-13,461.5
833,2003-04-14,461.5
834,2003-04-15,461.5
835,2003-04-16,461.5
836,2003-04-17,461.5
837,2003-04-18,461.5
838,2003-04-19,461.5
839,2003-04-20,461.5
840,2003-04-21,461.5
841,2003-04-22,461.5
842,2003-04-23,461.5
843,2003-04-24,461.5
844,2003-04-25,461.5
845,2003-04-26,461.5
846,2003-04-27,461.5
847,2003-04-28,461.5
848,2003-04-29,461.5
849,2003-04-30,461.5
850,2003-05-01,461.5
851,2003-05-02,461.5
852,2003-05-03,461.5
853,2003-05-04,461.5
854,2003-05-05,461.5
855,2003-05-06,461.5
856,2003-05-07,461.5
857,2003-05-08,461.5
858,2003-05-09,461.5
859,2003-05-10,461.5
860,2003-05-11,461.5
861,2003-05-12,461.5
862,2003-05-13,461.5
863,2003-05-14,461.5
864,2003-05-15,461.5
865,2003-05-16,461.5
866,2003-05-17,461.5
867,2003-05-18,461.5
868,2003-05-19,461.5
869,2003-05-20,461.5
870,2003-05-21,461.5
871,2003-05-22,461.5
872,2003-05-23,461.5
873,2003-05-24,461.5
874,2003-05-25,461.5
875,2003-05-26,461.5
876,2003-05-27,461.5
877,2003-05-28,461.5
878,2003-05-29,461.5
879,2003-05-30,461.5
880,2003-05-31,461.5
881,2003-06-01,461.5
882,2003-06-02,461.5
883,2003-06-03,461.5
884,2003-06-04,461.5
885,2003-06-05,461.5
886,2003-06-06,461.5
887,2003-06-07,461.5
888,2003-06-08,461.5
889,2003-06-09,461.5
890,2003-06-10,461.5
891,2003-06-11,461.5
892,2003-06-12,461.5
893,2003-06-13,461.5
894,2003-06-14,461.5
895,2003-06-15,461.5
896,2003-06-16,461.5
897,2003-06-17,461.5
898,2003-06-18,461.5
899,2003-06-19,461.5
900,2003-06-20,461.5
901,2003-06-21,461.5
902,2003-06-22,461.5
903,2003-06-23,461.5
904,2003-06-24,461.5
905,2003-06-25,461.5
906,2003-06-26,461.5
907,2003-06-27,461.5
908,2003-06-28,461.5
909,2003-06-29,461.5
910,2003-06-30,461.5
911,2003-07-01,461.5
912,2003-07-02,461.5
913,2003-07-03,461.5
914,2003-07-04,461.5
915,2003-07-05,461.5
916,2003-07-06,461.5
917,2003-07-07,461.5
918,2003-07-08,461.5
919,2003-07-09,461.5
920,2003-07-10,461.5
921,2003-07-11,461.5
922,2003-07-12,461.5
923,2003-07-13,461.5
924,2003-07-14,461.5
925,2003-07-15,461.5
926,2003-07-16,461.5
927,2003-07-17,461.5
928,2003-07-18,461.5
929,2003-07-19,461.5
930,2003-07-20,461.5
931,2003-07-21,461.5
932,2003-07-22,461.5
933,2003-07-23,461.5
934,2003-07-24,461.5
935,2003-07-25,461.5
936,2003-07-26,461.5
937,2003-07-27,461.5
938,2003-07-28,461.5
939,2003-07-29,461.5
940,2003-07-30,461.5
941,2003-07-31,461.5
942,2003-08-01,461.5
943,2003-08-02,461.5
944,2003-08-03,461.5
945,2003-08-04,461.5
946,2003-08-05,461.5
947,2003-08-06,461.5
948,2003-08-07,461.5
949,2003-08-08,461.5
950,2003-08-09,461.5
951,2003-08-10,461.5
952,2003-08-11,461.5
953,2003-08-12,461.5
954,2003-08-13,461.5
955,2003-08-14,461.5
956,2003-08-15,461.5
957,2003-08-16,461.5
958,2003-08-17,461.5
959,2003-08-18,461.5
960,2003-08-19,461.5
961,2003-08-20,461.5
962,2003-08-21,461.5
963,2003-08-22,461.5
964,2003-08-23,461.5
965,2003-08-24,461.5
966,2003-08-25,461.5
967,2003-08-26,461.5
968,2003-08-27,461.5
969,2003-08-28,461.5
970,2003-08-29,461.5
971,2003-08-30,461.5
972,2003-08-31,461.5
973,2003-09-01,461.5
974,2003-09-02,461.5
975,2003-09-03,461.5
976,2003-09-04,461.5
977,2003-09-05,461.5
978,2003-09-06,461.5
979,2003-09-07,461.5
980,2003-09-08,461.5
981,2003-09-09,461.5
982,2003-09-10,461.5
983,2003-09-11,461.5
984,2003-09-12,461.5
985,2003-09-13,461.5
986,2003-09-14,461.5
987,2003-09-15,461.5
988,2003-09-16,461.5
989,2003-09-17,461.5
990,2003-09-18,461.5
991,2003-09-19,461.5
992,2003-09-20,461.5
993,2003-09-21,461.5
994,2003-09-22,461.5
995,2003-09-23,461.5
996,2003-09-24,461.5
997,2003-09-25,461.5
998,2003-09-26,461.5
999,2003-09-27,461.5
1000,2003-09-28,461.5
1001,2003-09-29,461.5
1002,2003-09-30,461.5
1003,2003-10-01,461.5
1004,2003-10-02,461.5
1005,2003-10-03,461.5
1006,2003-10-04,461.5
1007,2003-10-05,461.5
1008,2003-10-06,461.5
1009,2003-10-07,461.5
1010,2003-10-08,461.5
1011,2003-10-09,461.5
1012,2003-10-10,461.5
1013,2003-10-11,461.5
1014,2003-10-12,461.5
1015,2003-10-13,461.5
1016,2003-10-14,461.5
1017,2003-10-15,461.5
1018,2003-10-16,461.5
1019,2003-10-17,461.5
1020,2003-10-18,461.5
1021,2003-10-19,461.5
1022,2003-10-20,461.5
1023,2003-10-21,461.5
1024,2003-10-22,461.5
1025,2003-10-23,461.5
1026,2003-10-24,461.5
1027,2003-10-25,461.5
1028,2003-10-26,461.5
1029,2003-10-27,461.5
1030,2003-10-28,461.5
1031,2003-10-29,461.5
1032,2003-10-30,461.5
1033,2003-10-31,461.5
1034,2003-11-01,461.5
1035,2003-11-02,461.5
1036,2003-11-03,461.5
1037,2003-11-04,461.5
1038,2003-11-05,461.5
1039,2003-11-06,461.5
1040,2003-11-07,461.5
1041,2003-11-08,461.5
1042,2003-11-09,461.5
1043,2003-11-10,461.5
1044,2003-11-11,461.5
1045,2003-11-12,461.5
1046,2003-11-13,461.5
1047,2003-11-14,461.5
1048,2003-11-15,461.5
1049,2003-11-16,461.5
1050,2003-11-17,461.5
1051,2003-11-18,461.5
1052,2003-11-19,461.5
1053,2003-11-20,461.5
1054,2003-11-21,461.5
1055,2003-11-22,461.5
1056,2003-11-23,461.5
1057,2003-11-24,461.5
1058,2003-11-25,461.5
1059,2003-11-26,461.5
1060,2003-11-27,461.5
1061,2003-11-28,461.5
1062,2003-11-29,461.5
1063,2003-11-30,461.5
1064,2003-12-01,461.5
1065,2003-12-02,461.5
1066,2003-12-03,461.5
1067,2003-12-04,461.5
1068,2003-12-05,461.5
1069,2003-12-06,461.5
