,Year, Total
199,2001-07-19,18.58
200,2001-07-20,18.58
201,2001-07-21,18.58
202,2001-07-22,18.58
203,2001-07-23,18.58
204,2001-07-24,18.58
205,2001-07-25,18.58
206,2001-07-26,18.58
207,2001-07-27,18.58
208,2001-07-28,18.58
209,2001-07-29,18.58
210,2001-07-30,18.58
211,2001-07-31,18.58
212,2001-08-01,18.58
213,2001-08-02,18.58
214,2001-08-03,18.58
215,2001-08-04,18.58
216,2001-08-05,18.58
217,2001-08-06,18.58
218,2001-08-07,18.58
219,2001-08-08,18.58
220,2001-08-09,18.58
221,2001-08-10,18.58
222,2001-08-11,18.58
223,2001-08-12,18.58
224,2001-08-13,18.58
225,2001-08-14,18.58
226,2001-08-15,18.58
227,2001-08-16,18.58
228,2001-08-17,18.58
229,2001-08-18,18.58
230,2001-08-19,18.58
231,2001-08-20,18.58
232,2001-08-21,18.58
233,2001-08-22,18.58
234,2001-08-23,18.58
235,2001-08-24,18.58
236,2001-08-25,18.58
237,2001-08-26,18.58
238,2001-08-27,18.58
239,2001-08-28,18.58
240,2001-08-29,18.58
241,2001-08-30,18.58
242,2001-08-31,18.58
243,2001-09-01,18.58
244,2001-09-02,18.58
245,2001-09-03,18.58
246,2001-09-04,18.58
247,2001-09-05,18.58
248,2001-09-06,18.58
249,2001-09-07,18.58
250,2001-09-08,18.58
251,2001-09-09,18.58
252,2001-09-10,18.58
253,2001-09-11,18.58
254,2001-09-12,18.58
255,2001-09-13,18.58
256,2001-09-14,18.58
257,2001-09-15,18.58
258,2001-09-16,18.58
259,2001-09-17,18.58
260,2001-09-18,18.58
261,2001-09-19,18.58
262,2001-09-20,18.58
263,2001-09-21,18.58
264,2001-09-22,18.58
265,2001-09-23,18.58
266,2001-09-24,18.58
267,2001-09-25,18.58
268,2001-09-26,18.58
269,2001-09-27,18.58
270,2001-09-28,18.58
271,2001-09-29,18.58
272,2001-09-30,18.58
273,2001-10-01,18.58
274,2001-10-02,18.58
275,2001-10-03,18.58
276,2001-10-04,18.58
277,2001-10-05,18.58
278,2001-10-06,18.58
279,2001-10-07,18.58
280,2001-10-08,18.58
281,2001-10-09,18.58
282,2001-10-10,18.58
283,2001-10-11,18.58
284,2001-10-12,18.58
285,2001-10-13,18.58
286,2001-10-14,18.58
287,2001-10-15,18.58
288,2001-10-16,18.58
289,2001-10-17,18.58
290,2001-10-18,18.58
291,2001-10-19,18.58
292,2001-10-20,18.58
293,2001-10-21,18.58
294,2001-10-22,18.58
295,2001-10-23,18.58
296,2001-10-24,18.58
297,2001-10-25,18.58
298,2001-10-26,18.58
299,2001-10-27,18.58
300,2001-10-28,18.58
301,2001-10-29,18.58
302,2001-10-30,18.58
303,2001-10-31,18.58
304,2001-11-01,18.58
305,2001-11-02,18.58
306,2001-11-03,18.58
307,2001-11-04,18.58
308,2001-11-05,18.58
309,2001-11-06,18.58
310,2001-11-07,18.58
311,2001-11-08,18.58
312,2001-11-09,18.58
313,2001-11-10,18.58
314,2001-11-11,18.58
315,2001-11-12,18.58
316,2001-11-13,18.58
317,2001-11-14,18.58
318,2001-11-15,18.58
319,2001-11-16,18.58
320,2001-11-17,18.58
321,2001-11-18,18.58
322,2001-11-19,18.58
323,2001-11-20,18.58
324,2001-11-21,18.58
325,2001-11-22,18.58
326,2001-11-23,18.58
327,2001-11-24,18.58
328,2001-11-25,18.58
329,2001-11-26,18.58
330,2001-11-27,18.58
331,2001-11-28,18.58
332,2001-11-29,18.58
333,2001-11-30,18.58
334,2001-12-01,18.58
335,2001-12-02,18.58
336,2001-12-03,18.58
337,2001-12-04,18.58
338,2001-12-05,18.58
339,2001-12-06,18.58
340,2001-12-07,18.58
341,2001-12-08,18.58
342,2001-12-09,18.58
343,2001-12-10,18.58
344,2001-12-11,18.58
345,2001-12-12,18.58
346,2001-12-13,18.58
347,2001-12-14,18.58
348,2001-12-15,18.58
349,2001-12-16,18.58
350,2001-12-17,18.58
351,2001-12-18,18.58
352,2001-12-19,18.58
353,2001-12-20,18.58
354,2001-12-21,18.58
355,2001-12-22,18.58
356,2001-12-23,18.58
357,2001-12-24,18.58
358,2001-12-25,18.58
359,2001-12-26,18.58
360,2001-12-27,18.58
361,2001-12-28,18.58
362,2001-12-29,18.58
363,2001-12-30,18.58
364,2001-12-31,18.58
365,2002-01-01,15.06
366,2002-01-02,15.06
367,2002-01-03,15.06
368,2002-01-04,15.06
369,2002-01-05,15.06
370,2002-01-06,15.06
371,2002-01-07,15.06
372,2002-01-08,15.06
373,2002-01-09,15.06
374,2002-01-10,15.06
375,2002-01-11,15.06
376,2002-01-12,15.06
377,2002-01-13,15.06
378,2002-01-14,15.06
379,2002-01-15,15.06
380,2002-01-16,15.06
381,2002-01-17,15.06
382,2002-01-18,15.06
383,2002-01-19,15.06
384,2002-01-20,15.06
385,2002-01-21,15.06
386,2002-01-22,15.06
387,2002-01-23,15.06
388,2002-01-24,15.06
389,2002-01-25,15.06
390,2002-01-26,15.06
391,2002-01-27,15.06
392,2002-01-28,15.06
393,2002-01-29,15.06
394,2002-01-30,15.06
395,2002-01-31,15.06
396,2002-02-01,15.06
397,2002-02-02,15.06
398,2002-02-03,15.06
399,2002-02-04,15.06
400,2002-02-05,15.06
401,2002-02-06,15.06
402,2002-02-07,15.06
403,2002-02-08,15.06
404,2002-02-09,15.06
405,2002-02-10,15.06
406,2002-02-11,15.06
407,2002-02-12,15.06
408,2002-02-13,15.06
409,2002-02-14,15.06
410,2002-02-15,15.06
411,2002-02-16,15.06
412,2002-02-17,15.06
413,2002-02-18,15.06
414,2002-02-19,15.06
415,2002-02-20,15.06
416,2002-02-21,15.06
417,2002-02-22,15.06
418,2002-02-23,15.06
419,2002-02-24,15.06
420,2002-02-25,15.06
421,2002-02-26,15.06
422,2002-02-27,15.06
423,2002-02-28,15.06
424,2002-03-01,15.06
425,2002-03-02,15.06
426,2002-03-03,15.06
427,2002-03-04,15.06
428,2002-03-05,15.06
429,2002-03-06,15.06
430,2002-03-07,15.06
431,2002-03-08,15.06
432,2002-03-09,15.06
433,2002-03-10,15.06
434,2002-03-11,15.06
435,2002-03-12,15.06
436,2002-03-13,15.06
437,2002-03-14,15.06
438,2002-03-15,15.06
439,2002-03-16,15.06
440,2002-03-17,15.06
441,2002-03-18,15.06
442,2002-03-19,15.06
443,2002-03-20,15.06
444,2002-03-21,15.06
445,2002-03-22,15.06
446,2002-03-23,15.06
447,2002-03-24,15.06
448,2002-03-25,15.06
449,2002-03-26,15.06
450,2002-03-27,15.06
451,2002-03-28,15.06
452,2002-03-29,15.06
453,2002-03-30,15.06
454,2002-03-31,15.06
455,2002-04-01,15.06
456,2002-04-02,15.06
457,2002-04-03,15.06
458,2002-04-04,15.06
459,2002-04-05,15.06
460,2002-04-06,15.06
461,2002-04-07,15.06
462,2002-04-08,15.06
463,2002-04-09,15.06
464,2002-04-10,15.06
465,2002-04-11,15.06
466,2002-04-12,15.06
467,2002-04-13,15.06
468,2002-04-14,15.06
469,2002-04-15,15.06
470,2002-04-16,15.06
471,2002-04-17,15.06
472,2002-04-18,15.06
473,2002-04-19,15.06
474,2002-04-20,15.06
475,2002-04-21,15.06
476,2002-04-22,15.06
477,2002-04-23,15.06
478,2002-04-24,15.06
479,2002-04-25,15.06
480,2002-04-26,15.06
481,2002-04-27,15.06
482,2002-04-28,15.06
483,2002-04-29,15.06
484,2002-04-30,15.06
485,2002-05-01,15.06
486,2002-05-02,15.06
487,2002-05-03,15.06
488,2002-05-04,15.06
489,2002-05-05,15.06
490,2002-05-06,15.06
491,2002-05-07,15.06
492,2002-05-08,15.06
493,2002-05-09,15.06
494,2002-05-10,15.06
495,2002-05-11,15.06
496,2002-05-12,15.06
497,2002-05-13,15.06
498,2002-05-14,15.06
499,2002-05-15,15.06
500,2002-05-16,15.06
501,2002-05-17,15.06
502,2002-05-18,15.06
503,2002-05-19,15.06
504,2002-05-20,15.06
505,2002-05-21,15.06
506,2002-05-22,15.06
507,2002-05-23,15.06
508,2002-05-24,15.06
509,2002-05-25,15.06
510,2002-05-26,15.06
511,2002-05-27,15.06
512,2002-05-28,15.06
513,2002-05-29,15.06
514,2002-05-30,15.06
515,2002-05-31,15.06
516,2002-06-01,15.06
517,2002-06-02,15.06
518,2002-06-03,15.06
519,2002-06-04,15.06
520,2002-06-05,15.06
521,2002-06-06,15.06
522,2002-06-07,15.06
523,2002-06-08,15.06
524,2002-06-09,15.06
525,2002-06-10,15.06
526,2002-06-11,15.06
527,2002-06-12,15.06
528,2002-06-13,15.06
529,2002-06-14,15.06
530,2002-06-15,15.06
531,2002-06-16,15.06
532,2002-06-17,15.06
533,2002-06-18,15.06
534,2002-06-19,15.06
535,2002-06-20,15.06
536,2002-06-21,15.06
537,2002-06-22,15.06
538,2002-06-23,15.06
539,2002-06-24,15.06
540,2002-06-25,15.06
541,2002-06-26,15.06
542,2002-06-27,15.06
543,2002-06-28,15.06
544,2002-06-29,15.06
545,2002-06-30,15.06
546,2002-07-01,15.06
547,2002-07-02,15.06
548,2002-07-03,15.06
549,2002-07-04,15.06
550,2002-07-05,15.06
551,2002-07-06,15.06
552,2002-07-07,15.06
553,2002-07-08,15.06
554,2002-07-09,15.06
555,2002-07-10,15.06
556,2002-07-11,15.06
557,2002-07-12,15.06
558,2002-07-13,15.06
559,2002-07-14,15.06
560,2002-07-15,15.06
561,2002-07-16,15.06
562,2002-07-17,15.06
563,2002-07-18,15.06
564,2002-07-19,15.06
565,2002-07-20,15.06
566,2002-07-21,15.06
567,2002-07-22,15.06
568,2002-07-23,15.06
569,2002-07-24,15.06
570,2002-07-25,15.06
571,2002-07-26,15.06
572,2002-07-27,15.06
573,2002-07-28,15.06
574,2002-07-29,15.06
575,2002-07-30,15.06
576,2002-07-31,15.06
577,2002-08-01,15.06
578,2002-08-02,15.06
579,2002-08-03,15.06
580,2002-08-04,15.06
581,2002-08-05,15.06
582,2002-08-06,15.06
583,2002-08-07,15.06
584,2002-08-08,15.06
585,2002-08-09,15.06
586,2002-08-10,15.06
587,2002-08-11,15.06
588,2002-08-12,15.06
589,2002-08-13,15.06
590,2002-08-14,15.06
591,2002-08-15,15.06
592,2002-08-16,15.06
593,2002-08-17,15.06
594,2002-08-18,15.06
595,2002-08-19,15.06
596,2002-08-20,15.06
597,2002-08-21,15.06
598,2002-08-22,15.06
599,2002-08-23,15.06
600,2002-08-24,15.06
601,2002-08-25,15.06
602,2002-08-26,15.06
603,2002-08-27,15.06
604,2002-08-28,15.06
605,2002-08-29,15.06
606,2002-08-30,15.06
607,2002-08-31,15.06
608,2002-09-01,15.06
609,2002-09-02,15.06
610,2002-09-03,15.06
611,2002-09-04,15.06
612,2002-09-05,15.06
613,2002-09-06,15.06
614,2002-09-07,15.06
615,2002-09-08,15.06
616,2002-09-09,15.06
617,2002-09-10,15.06
618,2002-09-11,15.06
619,2002-09-12,15.06
620,2002-09-13,15.06
621,2002-09-14,15.06
622,2002-09-15,15.06
623,2002-09-16,15.06
624,2002-09-17,15.06
625,2002-09-18,15.06
626,2002-09-19,15.06
627,2002-09-20,15.06
628,2002-09-21,15.06
629,2002-09-22,15.06
630,2002-09-23,15.06
631,2002-09-24,15.06
632,2002-09-25,15.06
633,2002-09-26,15.06
634,2002-09-27,15.06
635,2002-09-28,15.06
636,2002-09-29,15.06
637,2002-09-30,15.06
638,2002-10-01,15.06
639,2002-10-02,15.06
640,2002-10-03,15.06
641,2002-10-04,15.06
642,2002-10-05,15.06
643,2002-10-06,15.06
644,2002-10-07,15.06
645,2002-10-08,15.06
646,2002-10-09,15.06
647,2002-10-10,15.06
648,2002-10-11,15.06
649,2002-10-12,15.06
650,2002-10-13,15.06
651,2002-10-14,15.06
652,2002-10-15,15.06
653,2002-10-16,15.06
654,2002-10-17,15.06
655,2002-10-18,15.06
656,2002-10-19,15.06
657,2002-10-20,15.06
658,2002-10-21,15.06
659,2002-10-22,15.06
660,2002-10-23,15.06
661,2002-10-24,15.06
662,2002-10-25,15.06
663,2002-10-26,15.06
664,2002-10-27,15.06
665,2002-10-28,15.06
666,2002-10-29,15.06
667,2002-10-30,15.06
668,2002-10-31,15.06
669,2002-11-01,15.06
670,2002-11-02,15.06
671,2002-11-03,15.06
672,2002-11-04,15.06
673,2002-11-05,15.06
674,2002-11-06,15.06
675,2002-11-07,15.06
676,2002-11-08,15.06
677,2002-11-09,15.06
678,2002-11-10,15.06
679,2002-11-11,15.06
680,2002-11-12,15.06
681,2002-11-13,15.06
682,2002-11-14,15.06
683,2002-11-15,15.06
684,2002-11-16,15.06
685,2002-11-17,15.06
686,2002-11-18,15.06
687,2002-11-19,15.06
688,2002-11-20,15.06
689,2002-11-21,15.06
690,2002-11-22,15.06
691,2002-11-23,15.06
692,2002-11-24,15.06
693,2002-11-25,15.06
694,2002-11-26,15.06
695,2002-11-27,15.06
696,2002-11-28,15.06
697,2002-11-29,15.06
698,2002-11-30,15.06
699,2002-12-01,15.06
700,2002-12-02,15.06
701,2002-12-03,15.06
702,2002-12-04,15.06
703,2002-12-05,15.06
704,2002-12-06,15.06
705,2002-12-07,15.06
706,2002-12-08,15.06
707,2002-12-09,15.06
708,2002-12-10,15.06
709,2002-12-11,15.06
710,2002-12-12,15.06
711,2002-12-13,15.06
712,2002-12-14,15.06
713,2002-12-15,15.06
714,2002-12-16,15.06
715,2002-12-17,15.06
716,2002-12-18,15.06
717,2002-12-19,15.06
718,2002-12-20,15.06
719,2002-12-21,15.06
720,2002-12-22,15.06
721,2002-12-23,15.06
722,2002-12-24,15.06
723,2002-12-25,15.06
724,2002-12-26,15.06
725,2002-12-27,15.06
726,2002-12-28,15.06
727,2002-12-29,15.06
728,2002-12-30,15.06
729,2002-12-31,15.06
730,2003-01-01,11.99
731,2003-01-02,11.99
732,2003-01-03,11.99
733,2003-01-04,11.99
734,2003-01-05,11.99
735,2003-01-06,11.99
736,2003-01-07,11.99
737,2003-01-08,11.99
738,2003-01-09,11.99
739,2003-01-10,11.99
740,2003-01-11,11.99
741,2003-01-12,11.99
742,2003-01-13,11.99
743,2003-01-14,11.99
744,2003-01-15,11.99
745,2003-01-16,11.99
746,2003-01-17,11.99
747,2003-01-18,11.99
748,2003-01-19,11.99
749,2003-01-20,11.99
750,2003-01-21,11.99
751,2003-01-22,11.99
752,2003-01-23,11.99
753,2003-01-24,11.99
754,2003-01-25,11.99
755,2003-01-26,11.99
756,2003-01-27,11.99
757,2003-01-28,11.99
758,2003-01-29,11.99
759,2003-01-30,11.99
760,2003-01-31,11.99
761,2003-02-01,11.99
762,2003-02-02,11.99
763,2003-02-03,11.99
764,2003-02-04,11.99
765,2003-02-05,11.99
766,2003-02-06,11.99
767,2003-02-07,11.99
768,2003-02-08,11.99
769,2003-02-09,11.99
770,2003-02-10,11.99
771,2003-02-11,11.99
772,2003-02-12,11.99
773,2003-02-13,11.99
774,2003-02-14,11.99
775,2003-02-15,11.99
776,2003-02-16,11.99
777,2003-02-17,11.99
778,2003-02-18,11.99
779,2003-02-19,11.99
780,2003-02-20,11.99
781,2003-02-21,11.99
782,2003-02-22,11.99
783,2003-02-23,11.99
784,2003-02-24,11.99
785,2003-02-25,11.99
786,2003-02-26,11.99
787,2003-02-27,11.99
788,2003-02-28,11.99
789,2003-03-01,11.99
790,2003-03-02,11.99
791,2003-03-03,11.99
792,2003-03-04,11.99
793,2003-03-05,11.99
794,2003-03-06,11.99
795,2003-03-07,11.99
796,2003-03-08,11.99
797,2003-03-09,11.99
798,2003-03-10,11.99
799,2003-03-11,11.99
800,2003-03-12,11.99
801,2003-03-13,11.99
802,2003-03-14,11.99
803,2003-03-15,11.99
804,2003-03-16,11.99
805,2003-03-17,11.99
806,2003-03-18,11.99
807,2003-03-19,11.99
808,2003-03-20,11.99
809,2003-03-21,11.99
810,2003-03-22,11.99
811,2003-03-23,11.99
812,2003-03-24,11.99
813,2003-03-25,11.99
814,2003-03-26,11.99
815,2003-03-27,11.99
816,2003-03-28,11.99
817,2003-03-29,11.99
818,2003-03-30,11.99
819,2003-03-31,11.99
820,2003-04-01,11.99
821,2003-04-02,11.99
822,2003-04-03,11.99
823,2003-04-04,11.99
824,2003-04-05,11.99
825,2003-04-06,11.99
826,2003-04-07,11.99
827,2003-04-08,11.99
828,2003-04-09,11.99
829,2003-04-10,11.99
830,2003-04-11,11.99
831,2003-04-12,11.99
832,2003-04-13,11.99
833,2003-04-14,11.99
834,2003-04-15,11.99
835,2003-04-16,11.99
836,2003-04-17,11.99
837,2003-04-18,11.99
838,2003-04-19,11.99
839,2003-04-20,11.99
840,2003-04-21,11.99
841,2003-04-22,11.99
842,2003-04-23,11.99
843,2003-04-24,11.99
844,2003-04-25,11.99
845,2003-04-26,11.99
846,2003-04-27,11.99
847,2003-04-28,11.99
848,2003-04-29,11.99
849,2003-04-30,11.99
850,2003-05-01,11.99
851,2003-05-02,11.99
852,2003-05-03,11.99
853,2003-05-04,11.99
854,2003-05-05,11.99
855,2003-05-06,11.99
856,2003-05-07,11.99
857,2003-05-08,11.99
858,2003-05-09,11.99
859,2003-05-10,11.99
860,2003-05-11,11.99
861,2003-05-12,11.99
862,2003-05-13,11.99
863,2003-05-14,11.99
864,2003-05-15,11.99
865,2003-05-16,11.99
866,2003-05-17,11.99
867,2003-05-18,11.99
868,2003-05-19,11.99
869,2003-05-20,11.99
870,2003-05-21,11.99
871,2003-05-22,11.99
872,2003-05-23,11.99
873,2003-05-24,11.99
874,2003-05-25,11.99
875,2003-05-26,11.99
876,2003-05-27,11.99
877,2003-05-28,11.99
878,2003-05-29,11.99
879,2003-05-30,11.99
880,2003-05-31,11.99
881,2003-06-01,11.99
882,2003-06-02,11.99
883,2003-06-03,11.99
884,2003-06-04,11.99
885,2003-06-05,11.99
886,2003-06-06,11.99
887,2003-06-07,11.99
888,2003-06-08,11.99
889,2003-06-09,11.99
890,2003-06-10,11.99
891,2003-06-11,11.99
892,2003-06-12,11.99
893,2003-06-13,11.99
894,2003-06-14,11.99
895,2003-06-15,11.99
896,2003-06-16,11.99
897,2003-06-17,11.99
898,2003-06-18,11.99
899,2003-06-19,11.99
900,2003-06-20,11.99
901,2003-06-21,11.99
902,2003-06-22,11.99
903,2003-06-23,11.99
904,2003-06-24,11.99
905,2003-06-25,11.99
906,2003-06-26,11.99
907,2003-06-27,11.99
908,2003-06-28,11.99
909,2003-06-29,11.99
910,2003-06-30,11.99
911,2003-07-01,11.99
912,2003-07-02,11.99
913,2003-07-03,11.99
914,2003-07-04,11.99
915,2003-07-05,11.99
916,2003-07-06,11.99
917,2003-07-07,11.99
918,2003-07-08,11.99
919,2003-07-09,11.99
920,2003-07-10,11.99
921,2003-07-11,11.99
922,2003-07-12,11.99
923,2003-07-13,11.99
924,2003-07-14,11.99
925,2003-07-15,11.99
926,2003-07-16,11.99
927,2003-07-17,11.99
928,2003-07-18,11.99
929,2003-07-19,11.99
930,2003-07-20,11.99
931,2003-07-21,11.99
932,2003-07-22,11.99
933,2003-07-23,11.99
934,2003-07-24,11.99
935,2003-07-25,11.99
936,2003-07-26,11.99
937,2003-07-27,11.99
938,2003-07-28,11.99
939,2003-07-29,11.99
940,2003-07-30,11.99
941,2003-07-31,11.99
942,2003-08-01,11.99
943,2003-08-02,11.99
944,2003-08-03,11.99
945,2003-08-04,11.99
946,2003-08-05,11.99
947,2003-08-06,11.99
948,2003-08-07,11.99
949,2003-08-08,11.99
950,2003-08-09,11.99
951,2003-08-10,11.99
952,2003-08-11,11.99
953,2003-08-12,11.99
954,2003-08-13,11.99
955,2003-08-14,11.99
956,2003-08-15,11.99
957,2003-08-16,11.99
958,2003-08-17,11.99
959,2003-08-18,11.99
960,2003-08-19,11.99
961,2003-08-20,11.99
962,2003-08-21,11.99
963,2003-08-22,11.99
964,2003-08-23,11.99
965,2003-08-24,11.99
966,2003-08-25,11.99
967,2003-08-26,11.99
968,2003-08-27,11.99
969,2003-08-28,11.99
970,2003-08-29,11.99
971,2003-08-30,11.99
972,2003-08-31,11.99
973,2003-09-01,11.99
974,2003-09-02,11.99
975,2003-09-03,11.99
976,2003-09-04,11.99
977,2003-09-05,11.99
978,2003-09-06,11.99
979,2003-09-07,11.99
980,2003-09-08,11.99
981,2003-09-09,11.99
982,2003-09-10,11.99
983,2003-09-11,11.99
984,2003-09-12,11.99
985,2003-09-13,11.99
986,2003-09-14,11.99
987,2003-09-15,11.99
988,2003-09-16,11.99
989,2003-09-17,11.99
990,2003-09-18,11.99
991,2003-09-19,11.99
992,2003-09-20,11.99
993,2003-09-21,11.99
994,2003-09-22,11.99
995,2003-09-23,11.99
996,2003-09-24,11.99
997,2003-09-25,11.99
998,2003-09-26,11.99
999,2003-09-27,11.99
1000,2003-09-28,11.99
1001,2003-09-29,11.99
1002,2003-09-30,11.99
1003,2003-10-01,11.99
1004,2003-10-02,11.99
1005,2003-10-03,11.99
1006,2003-10-04,11.99
1007,2003-10-05,11.99
1008,2003-10-06,11.99
1009,2003-10-07,11.99
1010,2003-10-08,11.99
1011,2003-10-09,11.99
1012,2003-10-10,11.99
1013,2003-10-11,11.99
1014,2003-10-12,11.99
1015,2003-10-13,11.99
1016,2003-10-14,11.99
1017,2003-10-15,11.99
1018,2003-10-16,11.99
1019,2003-10-17,11.99
1020,2003-10-18,11.99
1021,2003-10-19,11.99
1022,2003-10-20,11.99
1023,2003-10-21,11.99
1024,2003-10-22,11.99
1025,2003-10-23,11.99
1026,2003-10-24,11.99
1027,2003-10-25,11.99
1028,2003-10-26,11.99
1029,2003-10-27,11.99
1030,2003-10-28,11.99
1031,2003-10-29,11.99
1032,2003-10-30,11.99
1033,2003-10-31,11.99
1034,2003-11-01,11.99
1035,2003-11-02,11.99
1036,2003-11-03,11.99
1037,2003-11-04,11.99
1038,2003-11-05,11.99
1039,2003-11-06,11.99
1040,2003-11-07,11.99
1041,2003-11-08,11.99
1042,2003-11-09,11.99
1043,2003-11-10,11.99
1044,2003-11-11,11.99
1045,2003-11-12,11.99
1046,2003-11-13,11.99
1047,2003-11-14,11.99
1048,2003-11-15,11.99
1049,2003-11-16,11.99
1050,2003-11-17,11.99
1051,2003-11-18,11.99
1052,2003-11-19,11.99
1053,2003-11-20,11.99
1054,2003-11-21,11.99
1055,2003-11-22,11.99
1056,2003-11-23,11.99
1057,2003-11-24,11.99
1058,2003-11-25,11.99
1059,2003-11-26,11.99
1060,2003-11-27,11.99
1061,2003-11-28,11.99
1062,2003-11-29,11.99
1063,2003-11-30,11.99
1064,2003-12-01,11.99
1065,2003-12-02,11.99
1066,2003-12-03,11.99
1067,2003-12-04,11.99
1068,2003-12-05,11.99
1069,2003-12-06,11.99
